Origins\Destinations,Dadar East,Matunga East,Dadar West,Matunga West,Mahim,Prabhadevi,Shivaji Park Dadar West,Kataria Colony Dadar West,Kapad Bazaar Mahim West,Mahim West,Vidya Nagar Bandra West,Dharavi,Sion,Antop Hill,Sewari,Parel,Lower Parel,Worli,Byculla,Kurla East,Bandra East,Bandra West,ONGC Colony Bandra West,Worli Sea Face,Koliwada Adrash Nagar Worli
Dadar East,1323,384,257,77,17,106,46,26,15,21,6,52,209,87,28,625,256,115,55,77,80,76,16,1,0
Matunga East,474,912,84,96,45,52,18,14,11,7,5,128,367,143,50,158,86,43,25,102,140,54,15,2,2
Dadar West,170,87,268,108,18,197,66,22,7,7,4,13,30,16,9,79,82,50,5,27,36,32,6,2,1
Matunga West,101,94,50,310,103,42,47,56,29,10,9,38,41,13,1,27,23,15,9,22,48,56,9,0,0
Mahim,59,58,25,82,328,29,20,34,35,70,15,72,22,2,3,25,39,22,7,11,67,124,30,7,3
Prabhadevi,167,46,263,53,20,1363,173,60,40,24,17,12,57,22,4,212,187,321,15,30,103,88,45,25,14
Shivaji Park Dadar West,31,23,29,81,13,120,107,73,34,29,9,5,15,4,2,24,15,17,2,6,21,23,7,0,0
Kataria Colony Dadar West,24,11,12,44,24,43,45,59,54,31,3,4,7,3,3,20,8,13,2,4,24,39,10,0,0
Kapad Bazaar Mahim West,20,10,11,45,40,31,29,42,37,63,9,8,9,2,1,8,6,2,3,7,30,38,5,0,0
Mahim West,13,6,2,6,24,21,9,13,15,41,20,6,3,1,1,2,2,2,2,6,62,81,9,0,0
Vidya Nagar Bandra West,12,8,2,7,30,15,5,4,3,4,49,17,5,0,0,4,9,20,1,7,158,231,82,17,11
Dharavi,84,122,17,58,70,7,6,8,6,13,22,487,175,25,14,26,21,12,8,57,263,116,29,3,4
Sion,182,321,41,35,16,42,9,14,8,5,5,230,1948,172,43,108,84,36,20,487,665,77,17,5,0
Antop Hill,111,182,26,3,7,20,7,3,5,1,3,29,390,834,118,42,37,12,7,56,134,20,5,1,0
Sewari,41,47,3,1,4,6,0,2,0,0,1,5,26,84,214,162,7,7,47,10,8,2,0,0,0
Parel,610,203,130,48,16,224,29,24,16,6,4,27,110,57,66,2929,660,198,290,50,156,86,15,2,0
Lower Parel,250,95,192,69,31,361,27,15,11,4,11,18,96,24,8,535,2108,736,89,59,122,110,29,24,9
Worli,94,35,94,32,21,437,43,22,7,7,24,7,23,19,6,185,888,1794,13,21,229,168,105,138,65
Byculla,84,33,12,2,7,9,1,2,2,1,2,9,29,16,29,299,71,28,591,8,26,13,1,1,0
Kurla East,73,74,14,17,13,26,1,5,5,5,9,40,371,32,18,60,54,15,10,2433,512,61,17,0,0
Bandra East,99,103,32,38,157,95,13,22,16,20,140,222,344,25,11,140,118,172,22,798,6465,691,300,48,18
Bandra West,79,54,25,26,123,90,18,27,31,30,91,66,70,16,5,93,127,127,14,85,778,3887,447,32,11
ONGC Colony Bandra West,12,12,1,1,14,50,3,4,7,4,44,11,14,3,2,13,32,122,3,16,175,553,524,141,60
Worli Sea Face,3,2,3,4,0,59,3,2,0,0,19,2,0,0,0,1,31,155,2,0,86,44,70,37,38
Koliwada Adrash Nagar Worli,0,0,2,0,0,19,1,0,1,0,13,2,0,0,0,1,6,61,0,0,28,30,56,45,11
